id,name,province,city,address,types,1st,2nd
11110468,준로또,서울,동대문구,서울 동대문구 장안동 427-2 ,lotto645|pension720|speetto,1,3
11101692,천하명당복권방,서울,동작구,서울 동작구  동작대로7길 11 ,lotto645|pension720|speetto,1,13
14320010,복터져,충북,청주시,충북 청주시 청원구  율량로 36 103호,lotto645|pension720|speetto,1,10
14610115,로또복권,전남,해보면,전남  해보면  문장리 822-25번지 문장중앙식품,lotto645|speetto,1,0
12710173,안동슈퍼,대구,중구,대구 중구  중앙대로 463 ,lotto645,1,7
12990028,호반할인마트,광주,광산구,광주 광산구  도산로9번길 40 ,lotto645|pension720|speetto,4,4
13000141,돈벼락마트,대전,중구,대전 중구  충무로 169 1층 슈퍼,lotto645|pension720|speetto,1,8
14600028,복권나라동성점,전남,순천시,전남 순천시  연향번영길 94 동성아파트 상가113호,lotto645|pension720|speetto,3,25
11110488,대박로또,서울,성동구,서울 성동구  용답19길 11 ,lotto645|pension720|speetto,3,4
21120024,CU(신길도림점),서울,영등포구,서울 영등포구  신길동 289-6번지,lotto645|pension720|speetto,1,2
12600246,복권방,부산,사하구,부산 사하구 하단동 589-1번지 강서할인마트 내,lotto645|speetto,1,10
12700304,프랜드리,대구,동구,대구 동구  아양로7길 12 신암뜨랜채상가111호,lotto645|pension720|speetto,1,9
14110214,알뜰슈퍼,경기,동두천시,경기 동두천시  평화로 2436-1 4/6,lotto645|pension720|speetto,3,5
14290044,신운복권,강원,정선군,강원 정선군  정선로 1333-1 복권방,lotto645|pension720|speetto,2,6
14310028,도깨비 복권 전문점,충북,증평군,충북 증평군  광장로 119 ,lotto645|pension720|speetto,2,4
11101145,가로판매대,서울,동작구,서울 동작구 사당동  134-7번지 가판점,lotto645|speetto,1,5
12910051,월드복권,광주,남구,광주 남구 방림동 566번지 방림광신프로그레스상가112동 지하층 101호 이마트에브리데이 내,lotto645|pension720|speetto,1,4
14610073,대광복권방,전남,화순군,전남 화순군  칠충로 55 대광그린상가동 1층109호,lotto645|pension720|speetto,9,23
14810097,노마진말티고개점,경남,진주시,경남 진주시  말티고개로 128 1층,lotto645|speetto,1,3
12600257,복권1번,부산,부산진구,부산 부산진구  서면로 56 서면시장1층46호,lotto645|pension720|speetto,1,6
14110481,풍무대박복권,경기,김포시,경기 김포시 풍무동 39-1 ,lotto645|pension720|speetto,1,8
24100136,GS25(이천현대점),경기,이천시,경기 이천시 대월면 대흥리 1-6번지 ,lotto645|speetto,2,3
24400011,GS25(천안신방점),충남,천안시,충남 천안시 동남구 신방동 905번지 현대아파트상가102호,lotto645|speetto,1,7
14690001,복권왕국,전남,여수시,전남 여수시  화산로 134 ,lotto645|pension720|speetto,3,12
12800100,장군슈퍼,인천,연수구,인천 연수구  청량로 104 ,lotto645,3,11
13010100,로또복권방,대전,서구,대전 서구  복수동 492번지1층 썬마트편의점,lotto645,1,2
14800149,행운소리로또판매점,경남,김해시,경남 김해시  진영읍 죽곡리203번지,lotto645|speetto,1,2
21100195,GS25(석촌센타점),서울,송파구,서울 송파구 석촌동 272-25번지 ,lotto645,1,2
12690055,스위트초이스,부산,사상구,부산 사상구  사상로 300 단지내 상가 401동 13호,lotto645|pension720|speetto,2,7
12800232,제일복권,인천,동구,인천 동구  송림로162번길 10 B107,lotto645|pension720|speetto,2,14
14100443,프리웨이스토어,경기,광주시,경기 광주시 회안대로 605 1층  ,lotto645|pension720|speetto,2,23
14700074,신라슈퍼,경북,포항시,경북 포항시 남구  일월로 112 ,lotto645|pension720|speetto,3,16
22700028,GS25(동천화성점),대구,북구,대구 북구  대천로18길 2 ,lotto645|speetto,1,9
14100611,버스표판매소,경기,의정부시,경기 의정부시  평화로 535 의정부역 동부광장 앞(버스정류장),lotto645|pension720|speetto,1,5
14510052,로또방,전북,전주시,전북 전주시 완산구 평화동2가 341-3번지 ,lotto645,1,10
11100161,복권천국,서울,서초구,서울 서초구  서초대로 97 1층,lotto645|pension720|speetto,3,9
11110050,두꺼비로또판매점,서울,관악구,서울 관악구 봉천동(인헌동) 1630-1 ,lotto645,1,3
11100874,가로매점,서울,구로구,서울 구로구 구로동 604-19번지 ,lotto645|speetto,2,2
14800183,포시즌,경남,김해시,경남 김해시  내외중앙로 99 복권판매점,lotto645|pension720|speetto,2,25
13000071,그린마트,대전,중구,대전 중구 대흥동 186-3 이안과병원 건너편,lotto645|pension720|speetto,1,7
14700143,팬더복권,경북,포항시,경북 포항시 남구  충무로 40-1 ,lotto645|pension720|speetto,2,8
11110553,행운로또,서울,강동구,서울 강동구 길동 125-5 ,lotto645|speetto,2,2
